Date,Single Adults,Family Unit Members,Unaccompanied Children,GS_illegalimmigrant_US,GS_AsylumSeekers_US,GS_Title42Exp_US,Mex_US_Border,GS_BorderSecurity
21-Apr,108502,48297,16900,45.25,21,0.75,10,60.5
21-May,117960,40816,13878,23.6,21,1.2,8.6,50.8
21-Jun,113521,50106,15022,22.5,18,1,11.5,53.5
21-Jul,105405,76572,18681,28,21.75,1.5,10.5,54.75
21-Aug,98123,79899,18492,35.6,18.4,1.2,8.4,48.2
21-Sep,108758,62577,14180,33.75,28.75,2.625,9.5,60.75
21-Oct,104932,41556,12625,55.2,24,1,9,54
21-Nov,109991,43279,13745,32,21,1,7.25,44
21-Dec,109461,49437,11704,21.5,14.25,0.625,6,38.75
22-Jan,108851,30419,8607,31.2,14.8,0.9,7.8,48.6
22-Feb,122226,25165,11779,23.25,19.75,1,8.75,63.5
22-Mar,163237,34052,13892,20,23.5,10.5,10.5,61
22-Apr,154565,37082,11857,40.25,30.75,37.5,12,83
22-May,158784,51166,14420,29,26.2,16.8,11.2,66.2
22-Jun,133399,44071,14929,27.25,20.25,2.5,9,62.75
22-Jul,125980,42851,13003,28,16.6,1.2,8.2,74.8
22-Aug,131476,39305,10993,29.25,23,1.5,9.75,67.5
22-Sep,151479,44579,11539,57.25,64.75,1.5,9,77
22-Oct,146549,46667,11653,32.8,38.8,1.2,9,74.6
22-Nov,144962,49675,12792,25,35.75,5.75,8.5,72.75
22-Dec,149162,60678,11835,28,34.75,55.5,10.25,82